"TIMESTAMP","RECORD","station","farm","field","latitude","longitude","altitude","battery_voltage_Min","PTemp_Avg","counts_1_Tot","counts_2_Tot","solar_flux_density_Avg","lightning_strike_count_Tot","precipitation_Tot","strike_distance_Min","wind_speed_Avg","wind_direction_Avg","wind_speed_gust_Max","air_temperature_Avg","vapor_pressure_Avg","barometric_pressure_Avg","relative_humidity_Avg","humidity_sensor_temperature_Avg","tilt_north_south_Avg","tilt_west_east_Avg","NDVI_Avg"
"2021-10-06 12:00:00",0,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.68,37.95,397,534,682,0,0,0,1.045,307.7,5.67,24.95,13.3,981,47.65,29.95,0.8,-0.45,"NAN"
"2021-10-06 13:00:00",1,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,13.21,42.43,705,787,687.8,0,0,0,1.438,263.1,4.98,25.6,13.53,980,41.23,30.35,0.2,-0.1,"NAN"
"2021-10-06 14:00:00",2,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,13.23,46.82,703,768,724.8,0,0,0,1.42,263.4,4.08,26.6,12.98,980,37.22,30.65,0.125,-0.175,"NAN"
"2021-10-06 15:00:00",3,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,13.23,46.03,718,764,527,0,0,0,1.875,114.5,5.03,27,12.9,979,36.42,30.38,0.125,-0.1,"NAN"
"2021-10-06 16:00:00",4,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,13.27,40.47,716,761,440.8,0,0,0,1.502,98.5,4.26,26.95,12.93,979,36.58,29.1,0.125,-0.075,"NAN"
"2021-10-06 17:00:00",5,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,13.32,39.1,721,713,472.3,0,0,0,2.025,24.4,6.07,27.6,12.82,978,34.72,30.2,0.1,-0.15,"NAN"
"2021-10-06 18:00:00",6,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,13.06,34.37,789,749,257,0,0,0,1.98,62.33,4.75,27.1,12.7,978,35.45,29.28,0.15,-0.15,"NAN"
"2021-10-06 19:00:00",7,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.74,28.4,732,770,76.25,0,0,0,1.373,74.07,3.68,25.58,13.3,978,40.6,26.78,0.15,-0.175,"NAN"
"2021-10-06 20:00:00",8,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.65,22.84,713,728,1.25,0,0,0,0.588,135,1.25,21.43,14.33,978,56.45,21.97,0.075,-0.075,"NAN"
"2021-10-06 21:00:00",9,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.56,18.92,735,757,0,0,0,0,0.633,136.5,1.61,18.17,14.93,979,71.68,18.1,0.15,-0.075,"NAN"
"2021-10-06 22:00:00",10,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.54,16.6,724,761,0,0,0,0,0.668,245.5,2.13,16.65,15.23,979,80.4,16.2,0.1,-0.1,"NAN"
"2021-10-06 23:00:00",11,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.54,14.92,698,784,0,0,0,0,0.55,192.3,1.6,15.85,15.05,979,83.6,15.13,0.075,-0.1,"NAN"
"2021-10-07 00:00:00",12,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.53,13.8,689,742,0,0,0,0,0.38,66.73,0.78,14.93,15.33,979,90.5,14.33,0.025,-0.125,"NAN"
"2021-10-07 01:00:00",13,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.53,12.91,679,759,0,0,0,0,0.47,72.45,1.12,14.3,15.4,979,94.9,13.75,0.025,-0.2,"NAN"
"2021-10-07 02:00:00",14,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.52,11.97,693,715,0,0,0,0,0.405,189.3,0.91,13.55,15,979,96.6,13.1,0.15,-0.1,"NAN"
"2021-10-07 03:00:00",15,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.5,11.19,693,714,0,0,0,0,0.365,197.8,1.07,12.98,14.6,979,97.5,12.55,0.125,-0.1,"NAN"
"2021-10-07 04:00:00",16,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.45,10.44,718,713,0,0,0,0,0.415,310.4,1.13,12.3,13.85,979,97,11.73,0.05,-0.125,"NAN"
"2021-10-07 05:00:00",17,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.54,9.87,662,695,0,0,0,0,0.55,144.8,0.96,12.08,13.8,978,98,11.68,0.125,-0.075,"NAN"
"2021-10-07 06:00:00",18,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.54,9.19,690,745,0,0,0,0,0.523,216.5,1.2,11.23,13,979,97.6,10.73,0.05,-0.15,"NAN"
"2021-10-07 07:00:00",19,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.54,8.84,724,739,0,0,0,0,0.44,149.9,0.93,11.28,13.03,979,97.6,10.75,0.075,-0.05,"NAN"
"2021-10-07 08:00:00",20,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.54,9.05,697,767,16.75,0,0,0,0.623,104,1.31,11.4,13.28,979,98.3,11.08,0.1,-0.05,"NAN"
"2021-10-07 09:00:00",21,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.84,13.69,678,762,185,0,0,0,0.593,193.1,1.68,13.68,15.65,980,99.8,14.98,0.075,-0.125,"NAN"
"2021-10-07 10:00:00",22,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.93,18.43,685,771,148.8,0,0,0,0.655,100.9,1.57,16.63,16.95,980,89.7,17.63,0.15,-0.175,"NAN"
"2021-10-07 11:00:00",23,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.99,20.43,660,769,170,0,0,0,0.91,97.4,2.03,18.35,17.58,980,83.6,18.65,0.2,-0.075,"NAN"
"2021-10-07 12:00:00",24,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,13.33,26.62,668,711,279.3,0,0,0,0.778,103.1,2.58,21.33,18.3,980,72.23,22.8,0.175,-0.05,"NAN"
"2021-10-07 13:00:00",25,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,13.34,36.18,707,718,630.5,0,0,0,3.93,189.3,9.14,27.9,16.88,978,45.55,29.18,0.15,-0.175,"NAN"
"2021-10-07 14:00:00",26,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,13.12,45.61,647,707,717.5,0,0,0,5.335,195,9.85,30.65,16.03,977,36.18,33.18,0.35,-0.325,"NAN"
"2021-10-07 15:00:00",27,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,13.2,45.9,683,751,634.5,0,0,0,5.64,191.7,10.31,31.6,15.63,977,33.68,33.65,0.1,-0.1,"NAN"
"2021-10-07 16:00:00",28,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.98,46.15,699,756,587.8,0,0,0,5.038,190.2,9.13,32.3,15,976,31.13,34.25,0.125,-0.05,"NAN"
"2021-10-07 17:00:00",29,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,13.13,43.19,715,798,415.3,0,0,0,5.108,189.8,8.26,32.2,15.03,976,31.3,33.97,0.25,-0.225,"NAN"
"2021-10-07 18:00:00",30,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.89,36.94,713,727,155.8,0,0,0,4.775,184.6,7.86,30.55,15.55,960,35.43,31.75,0.2,-0.2,"NAN"
"2021-10-07 19:00:00",31,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.81,31.38,730,720,71.25,0,0,0,3.703,175.1,6.65,29.05,15.68,975,39.1,29.45,0.225,-0.225,"NAN"
"2021-10-07 20:00:00",32,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.68,27.43,709,747,2.5,0,0,0,2.465,163.9,4.34,26.35,15.98,976,46.7,26.7,0.125,-0.175,"NAN"
"2021-10-07 21:00:00",33,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.7,23.59,818,799,0,0,0,0,1.17,162.2,2.43,23.2,16.33,992,57.43,23.33,0.2,-0.15,"NAN"
"2021-10-07 22:00:00",34,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.67,21.02,747,779,0,0,0,0,1.215,165.1,2.43,21.7,16.67,976,64.05,21.35,0.125,-0.2,"NAN"
"2021-10-07 23:00:00",35,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.65,19.34,706,727,0,0,0,0,0.595,82.4,1.23,19.93,16.95,976,72.88,19.78,0.175,-0.175,"NAN"
"2021-10-08 00:00:00",36,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.63,18.19,706,783,0,0,0,0,1.645,162,5.15,21.1,17.13,976,69,19.6,0.175,-0.125,"NAN"
"2021-10-08 01:00:00",37,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.61,20.19,666,761,0,0,0,0,3.123,184,5.76,23.85,17.15,976,57.95,23.05,0.125,-0.225,"NAN"
"2021-10-08 02:00:00",38,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.6,21.27,686,761,0,0,0,0,3.53,187.5,8.2,24.33,16.93,976,55.63,23.7,0.1,-0.05,"NAN"
"2021-10-08 03:00:00",39,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.6,21.68,672,762,0,0,0,0,3.343,196.5,8.09,24.08,16.9,976,56.32,23.75,0.2,-0.175,"NAN"
"2021-10-08 04:00:00",40,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.59,20.92,723,770,0,0,0,0,2.775,194.7,7.23,23,16.83,976,59.95,22.75,0.175,-0.225,"NAN"
"2021-10-08 05:00:00",41,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.59,20,727,750,0,0,0,0,2.9,216.2,6.43,22.1,16.8,975,63.18,21.73,0.175,-0.025,"NAN"
"2021-10-08 06:00:00",42,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.59,19.65,715,774,0,0,0,0,3.895,215.3,7.46,21.6,16.75,975,65.1,21.25,0.15,-0.1,"NAN"
"2021-10-08 07:00:00",43,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.58,18.99,708,725,0,0,0,0,3.015,211.8,6.72,20.88,16.5,976,67.07,20.53,0.175,-0.2,"NAN"
"2021-10-08 08:00:00",44,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.58,18.52,685,765,14,0,0,0,2.88,210.4,5.23,20.13,16.48,976,69.98,20,0.125,-0.15,"NAN"
"2021-10-08 09:00:00",45,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.77,21.21,725,711,139,0,0,0,3.008,209.2,6,21.18,16.95,976,67.55,22.43,0.175,-0.15,"NAN"
"2021-10-08 10:00:00",46,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.75,26.72,714,756,310.3,0,0,0,4.085,219.6,7.63,24.33,16.75,976,55.3,26.93,0.05,-0.025,"NAN"
"2021-10-08 11:00:00",47,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.88,34.91,714,796,488.8,0,0,0,4.62,227.2,10.4,27.08,16.25,966,45.58,30.2,0.2,-0.225,"NAN"
"2021-10-08 12:00:00",48,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.92,39.86,697,771,636.5,0,0,0,5.363,233.4,9.46,29.53,15.75,961,38.25,32.65,0.05,-0.075,"NAN"
"2021-10-08 13:00:00",49,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,13.09,43.11,714,764,684.5,0,0,0,5.442,240,9.77,31.53,15.25,976,32.95,34.25,0.2,0,"NAN"
"2021-10-08 14:00:00",50,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,13.03,45.05,680,755,676.3,0,0,0,6.445,223.9,10.91,33.25,14.88,975,29.28,35.4,0.675,-0.275,"NAN"
"2021-10-08 15:00:00",51,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,13.11,45.49,737,799,569.8,0,0,0,6.608,222.5,11.39,34.4,14.48,975,26.65,36.22,0.2,-0.1,"NAN"
"2021-10-08 16:00:00",52,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,13.01,44.75,709,740,591,0,0,0,7.42,220.2,12.09,35.32,13.65,974,24,36.93,0.25,-0.4,"NAN"
"2021-10-08 17:00:00",53,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,13.09,43,734,752,434.3,0,0,0,6.605,201.3,10.9,34.85,15.3,973,27.43,36.68,0.575,-0.125,"NAN"
"2021-10-08 18:00:00",54,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.81,39.79,720,840,244.3,0,0,0,6.108,191,11.4,33.75,16.15,973,30.85,35.15,0.25,-0.3,"NAN"
"2021-10-08 19:00:00",55,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.79,34.69,729,780,68,0,0,0,4.85,188.9,11.24,31.5,16.9,974,36.65,32.38,0.025,-0.375,"NAN"
"2021-10-08 20:00:00",56,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.74,29.45,806,783,0.5,0,0,0,3.258,186.6,6.2,28.25,16.65,974,43.38,28.47,0.175,-0.225,"NAN"
"2021-10-08 21:00:00",57,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.7,26.84,816,839,0,0,0,0,3.725,187,6.91,27,15.92,955,44.6,26.75,0.2,-0.1,"NAN"
"2021-10-08 22:00:00",58,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.67,26.38,800,794,0,0,0,0,5.298,198.7,8.91,27.48,16.42,974,44.95,26.95,0.25,-0.15,"NAN"
"2021-10-08 23:00:00",59,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.65,26.21,773,823,0,0,0,0,5.502,200,9.63,27.15,16.1,974,44.78,26.9,0.075,-0.325,"NAN"
"2021-10-09 00:00:00",60,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.63,25.45,739,772,0,0,0,0,5.473,202.3,9.07,26.05,16.35,974,48.58,25.9,0.175,-0.175,"NAN"
"2021-10-09 01:00:00",61,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.59,24.76,766,769,0,0,0,0,5.85,207.7,10.58,25.63,16.63,974,50.53,25.4,0.45,0,"NAN"
"2021-10-09 02:00:00",62,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.53,24.27,766,766,0,0,0,0,6.023,209.3,10.64,25.25,16.6,974,51.6,25,0,-0.325,"NAN"
"2021-10-09 03:00:00",63,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.61,23.64,773,760,0,0,0,0,5.595,210.3,9.51,24.6,16.67,974,53.85,24.38,0.375,-0.175,"NAN"
"2021-10-09 04:00:00",64,"OK004","Arnall","Arnall North",35.01929,-97.54777,350,12.61,23.16,770,783,0,0,0,0,5.265,214.6,9.5,24.15,16.72,974,55.53,23.95,0.2,-0.2,"NAN"
